timeMillis,iso8601,bpm
1709270400000,2024-03-01T05:20:00Z,66
1709270700000,2024-03-01T05:25:00Z,61
1709271000000,2024-03-01T05:30:00Z,65
1709271300000,2024-03-01T05:35:00Z,71
1709271600000,2024-03-01T05:40:00Z,71
1709271900000,2024-03-01T05:45:00Z,64
1709272200000,2024-03-01T05:50:00Z,61
1709272500000,2024-03-01T05:55:00Z,65
1709272800000,2024-03-01T06:00:00Z,88
1709273100000,2024-03-01T06:05:00Z,71
1709273400000,2024-03-01T06:10:00Z,71
1709273700000,2024-03-01T06:15:00Z,73
1709274000000,2024-03-01T06:20:00Z,81
1709274300000,2024-03-01T06:25:00Z,81
1709274600000,2024-03-01T06:30:00Z,82
1709274900000,2024-03-01T06:35:00Z,88
1709275200000,2024-03-01T06:40:00Z,72
1709275500000,2024-03-01T06:45:00Z,72
1709275800000,2024-03-01T06:50:00Z,90
1709276100000,2024-03-01T06:55:00Z,87
1709276400000,2024-03-01T07:00:00Z,70
1709276700000,2024-03-01T07:05:00Z,79
1709277000000,2024-03-01T07:10:00Z,75
1709277300000,2024-03-01T07:15:00Z,86
1709277600000,2024-03-01T07:20:00Z,75
1709277900000,2024-03-01T07:25:00Z,81
1709278200000,2024-03-01T07:30:00Z,78
1709278500000,2024-03-01T07:35:00Z,73
1709278800000,2024-03-01T07:40:00Z,83
1709279100000,2024-03-01T07:45:00Z,75
1709279400000,2024-03-01T07:50:00Z,85
1709279700000,2024-03-01T07:55:00Z,81
1709280000000,2024-03-01T08:00:00Z,89
1709280300000,2024-03-01T08:05:00Z,82
1709280600000,2024-03-01T08:10:00Z,70
1709280900000,2024-03-01T08:15:00Z,78
1709281200000,2024-03-01T08:20:00Z,83
1709281500000,2024-03-01T08:25:00Z,88
1709281800000,2024-03-01T08:30:00Z,84
1709282100000,2024-03-01T08:35:00Z,87
1709282400000,2024-03-01T08:40:00Z,81
1709282700000,2024-03-01T08:45:00Z,87
1709283000000,2024-03-01T08:50:00Z,71
1709283300000,2024-03-01T08:55:00Z,83
1709283600000,2024-03-01T09:00:00Z,81
1709283900000,2024-03-01T09:05:00Z,89
1709284200000,2024-03-01T09:10:00Z,77
1709284500000,2024-03-01T09:15:00Z,75
1709284800000,2024-03-01T09:20:00Z,74
1709285100000,2024-03-01T09:25:00Z,86
1709285400000,2024-03-01T09:30:00Z,73
1709285700000,2024-03-01T09:35:00Z,84
1709286000000,2024-03-01T09:40:00Z,76
1709286300000,2024-03-01T09:45:00Z,88
1709286600000,2024-03-01T09:50:00Z,87
1709286900000,2024-03-01T09:55:00Z,83
1709287200000,2024-03-01T10:00:00Z,85
1709287500000,2024-03-01T10:05:00Z,70
1709287800000,2024-03-01T10:10:00Z,81
1709288100000,2024-03-01T10:15:00Z,76
1709288400000,2024-03-01T10:20:00Z,83
1709288700000,2024-03-01T10:25:00Z,82
1709289000000,2024-03-01T10:30:00Z,77
1709289300000,2024-03-01T10:35:00Z,83
1709289600000,2024-03-01T10:40:00Z,77
1709289900000,2024-03-01T10:45:00Z,77
1709290200000,2024-03-01T10:50:00Z,90
1709290500000,2024-03-01T10:55:00Z,84
1709290800000,2024-03-01T11:00:00Z,86
1709291100000,2024-03-01T11:05:00Z,80
1709291400000,2024-03-01T11:10:00Z,79
1709291700000,2024-03-01T11:15:00Z,87
1709292000000,2024-03-01T11:20:00Z,77
1709292300000,2024-03-01T11:25:00Z,72
1709292600000,2024-03-01T11:30:00Z,86
1709292900000,2024-03-01T11:35:00Z,72
1709293200000,2024-03-01T11:40:00Z,90
1709293500000,2024-03-01T11:45:00Z,71
1709293800000,2024-03-01T11:50:00Z,78
1709294100000,2024-03-01T11:55:00Z,85
1709294400000,2024-03-01T12:00:00Z,88
1709294700000,2024-03-01T12:05:00Z,75
1709295000000,2024-03-01T12:10:00Z,80
1709295300000,2024-03-01T12:15:00Z,84
1709295600000,2024-03-01T12:20:00Z,110
1709295900000,2024-03-01T12:25:00Z,100
1709296200000,2024-03-01T12:30:00Z,78
1709296500000,2024-03-01T12:35:00Z,81
1709296800000,2024-03-01T12:40:00Z,93
1709297100000,2024-03-01T12:45:00Z,87
1709297400000,2024-03-01T12:50:00Z,77
1709297700000,2024-03-01T12:55:00Z,107
1709298000000,2024-03-01T13:00:00Z,86
1709298300000,2024-03-01T13:05:00Z,86
1709298600000,2024-03-01T13:10:00Z,92
1709298900000,2024-03-01T13:15:00Z,91
1709299200000,2024-03-01T13:20:00Z,79
1709299500000,2024-03-01T13:25:00Z,77
1709299800000,2024-03-01T13:30:00Z,82
1709300100000,2024-03-01T13:35:00Z,100
1709300400000,2024-03-01T13:40:00Z,97
1709300700000,2024-03-01T13:45:00Z,90
1709301000000,2024-03-01T13:50:00Z,81
1709301300000,2024-03-01T13:55:00Z,78
1709301600000,2024-03-01T14:00:00Z,75
1709301900000,2024-03-01T14:05:00Z,79
1709302200000,2024-03-01T14:10:00Z,79
1709302500000,2024-03-01T14:15:00Z,75
1709302800000,2024-03-01T14:20:00Z,95
1709303100000,2024-03-01T14:25:00Z,90
1709303400000,2024-03-01T14:30:00Z,103
1709303700000,2024-03-01T14:35:00Z,85
1709304000000,2024-03-01T14:40:00Z,79
1709304300000,2024-03-01T14:45:00Z,86
1709304600000,2024-03-01T14:50:00Z,107
1709304900000,2024-03-01T14:55:00Z,105
1709305200000,2024-03-01T15:00:00Z,95
1709305500000,2024-03-01T15:05:00Z,89
1709305800000,2024-03-01T15:10:00Z,77
1709306100000,2024-03-01T15:15:00Z,107
1709306400000,2024-03-01T15:20:00Z,108
1709306700000,2024-03-01T15:25:00Z,76
1709307000000,2024-03-01T15:30:00Z,85
1709307300000,2024-03-01T15:35:00Z,78
1709307600000,2024-03-01T15:40:00Z,88
1709307900000,2024-03-01T15:45:00Z,95
1709308200000,2024-03-01T15:50:00Z,109
1709308500000,2024-03-01T15:55:00Z,109
1709308800000,2024-03-01T16:00:00Z,99
1709309100000,2024-03-01T16:05:00Z,91
1709309400000,2024-03-01T16:10:00Z,75
1709309700000,2024-03-01T16:15:00Z,85
1709310000000,2024-03-01T16:20:00Z,94
1709310300000,2024-03-01T16:25:00Z,91
1709310600000,2024-03-01T16:30:00Z,98
1709310900000,2024-03-01T16:35:00Z,80
1709311200000,2024-03-01T16:40:00Z,107
1709311500000,2024-03-01T16:45:00Z,93
1709311800000,2024-03-01T16:50:00Z,108
1709312100000,2024-03-01T16:55:00Z,79
1709312400000,2024-03-01T17:00:00Z,104
1709312700000,2024-03-01T17:05:00Z,82
1709313000000,2024-03-01T17:10:00Z,106
1709313300000,2024-03-01T17:15:00Z,105
1709313600000,2024-03-01T17:20:00Z,90
1709313900000,2024-03-01T17:25:00Z,95
1709314200000,2024-03-01T17:30:00Z,102
1709314500000,2024-03-01T17:35:00Z,88
1709314800000,2024-03-01T17:40:00Z,110
1709315100000,2024-03-01T17:45:00Z,81
1709315400000,2024-03-01T17:50:00Z,107
1709315700000,2024-03-01T17:55:00Z,83
1709316000000,2024-03-01T18:00:00Z,76
1709316300000,2024-03-01T18:05:00Z,75
1709316600000,2024-03-01T18:10:00Z,75
1709316900000,2024-03-01T18:15:00Z,75
1709317200000,2024-03-01T18:20:00Z,67
1709317500000,2024-03-01T18:25:00Z,68
1709317800000,2024-03-01T18:30:00Z,84
1709318100000,2024-03-01T18:35:00Z,84
1709318400000,2024-03-01T18:40:00Z,68
1709318700000,2024-03-01T18:45:00Z,81
1709319000000,2024-03-01T18:50:00Z,80
1709319300000,2024-03-01T18:55:00Z,78
1709319600000,2024-03-01T19:00:00Z,73
1709319900000,2024-03-01T19:05:00Z,69
1709320200000,2024-03-01T19:10:00Z,85
1709320500000,2024-03-01T19:15:00Z,75
1709320800000,2024-03-01T19:20:00Z,80
1709321100000,2024-03-01T19:25:00Z,81
1709321400000,2024-03-01T19:30:00Z,85
1709321700000,2024-03-01T19:35:00Z,69
1709322000000,2024-03-01T19:40:00Z,71
1709322300000,2024-03-01T19:45:00Z,76
1709322600000,2024-03-01T19:50:00Z,80
1709322900000,2024-03-01T19:55:00Z,81
1709323200000,2024-03-01T20:00:00Z,73
1709323500000,2024-03-01T20:05:00Z,77
1709323800000,2024-03-01T20:10:00Z,78
1709324100000,2024-03-01T20:15:00Z,77
1709324400000,2024-03-01T20:20:00Z,81
1709324700000,2024-03-01T20:25:00Z,68
1709325000000,2024-03-01T20:30:00Z,70
1709325300000,2024-03-01T20:35:00Z,70
1709325600000,2024-03-01T20:40:00Z,70
1709325900000,2024-03-01T20:45:00Z,68
1709326200000,2024-03-01T20:50:00Z,78
1709326500000,2024-03-01T20:55:00Z,76
1709326800000,2024-03-01T21:00:00Z,74
1709327100000,2024-03-01T21:05:00Z,68
1709327400000,2024-03-01T21:10:00Z,81
1709327700000,2024-03-01T21:15:00Z,84
1709328000000,2024-03-01T21:20:00Z,82
1709328300000,2024-03-01T21:25:00Z,78
1709328600000,2024-03-01T21:30:00Z,66
1709328900000,2024-03-01T21:35:00Z,71
1709329200000,2024-03-01T21:40:00Z,79
1709329500000,2024-03-01T21:45:00Z,67
1709329800000,2024-03-01T21:50:00Z,71
1709330100000,2024-03-01T21:55:00Z,68
1709330400000,2024-03-01T22:00:00Z,85
1709330700000,2024-03-01T22:05:00Z,69
1709331000000,2024-03-01T22:10:00Z,72
1709331300000,2024-03-01T22:15:00Z,77
1709331600000,2024-03-01T22:20:00Z,78
1709331900000,2024-03-01T22:25:00Z,68
1709332200000,2024-03-01T22:30:00Z,85
1709332500000,2024-03-01T22:35:00Z,77
1709332800000,2024-03-01T22:40:00Z,68
1709333100000,2024-03-01T22:45:00Z,65
1709333400000,2024-03-01T22:50:00Z,68
1709333700000,2024-03-01T22:55:00Z,82
1709334000000,2024-03-01T23:00:00Z,71
1709334300000,2024-03-01T23:05:00Z,66
1709334600000,2024-03-01T23:10:00Z,79
1709334900000,2024-03-01T23:15:00Z,84
1709335200000,2024-03-01T23:20:00Z,79
1709335500000,2024-03-01T23:25:00Z,76
1709335800000,2024-03-01T23:30:00Z,76
1709336100000,2024-03-01T23:35:00Z,65
1709336400000,2024-03-01T23:40:00Z,68
1709336700000,2024-03-01T23:45:00Z,73
1709337000000,2024-03-01T23:50:00Z,70
1709337300000,2024-03-01T23:55:00Z,85
1709337600000,2024-03-02T00:00:00Z,62
1709337900000,2024-03-02T00:05:00Z,72
1709338200000,2024-03-02T00:10:00Z,62
1709338500000,2024-03-02T00:15:00Z,60
1709338800000,2024-03-02T00:20:00Z,62
1709339100000,2024-03-02T00:25:00Z,60
1709339400000,2024-03-02T00:30:00Z,72
1709339700000,2024-03-02T00:35:00Z,63
1709340000000,2024-03-02T00:40:00Z,70
1709340300000,2024-03-02T00:45:00Z,64
1709340600000,2024-03-02T00:50:00Z,62
1709340900000,2024-03-02T00:55:00Z,67
1709341200000,2024-03-02T01:00:00Z,61
1709341500000,2024-03-02T01:05:00Z,65
1709341800000,2024-03-02T01:10:00Z,71
1709342100000,2024-03-02T01:15:00Z,64
1709342400000,2024-03-02T01:20:00Z,69
1709342700000,2024-03-02T01:25:00Z,72
1709343000000,2024-03-02T01:30:00Z,66
1709343300000,2024-03-02T01:35:00Z,64
1709343600000,2024-03-02T01:40:00Z,62
1709343900000,2024-03-02T01:45:00Z,66
1709344200000,2024-03-02T01:50:00Z,65
1709344500000,2024-03-02T01:55:00Z,63
1709344800000,2024-03-02T02:00:00Z,67
1709345100000,2024-03-02T02:05:00Z,68
1709345400000,2024-03-02T02:10:00Z,71
1709345700000,2024-03-02T02:15:00Z,67
1709346000000,2024-03-02T02:20:00Z,65
1709346300000,2024-03-02T02:25:00Z,65
1709346600000,2024-03-02T02:30:00Z,60
1709346900000,2024-03-02T02:35:00Z,72
1709347200000,2024-03-02T02:40:00Z,60
1709347500000,2024-03-02T02:45:00Z,63
1709347800000,2024-03-02T02:50:00Z,71
1709348100000,2024-03-02T02:55:00Z,62
1709348400000,2024-03-02T03:00:00Z,66
1709348700000,2024-03-02T03:05:00Z,63
1709349000000,2024-03-02T03:10:00Z,72
1709349300000,2024-03-02T03:15:00Z,66
1709349600000,2024-03-02T03:20:00Z,64
1709349900000,2024-03-02T03:25:00Z,66
1709350200000,2024-03-02T03:30:00Z,69
1709350500000,2024-03-02T03:35:00Z,69
1709350800000,2024-03-02T03:40:00Z,65
1709351100000,2024-03-02T03:45:00Z,65
1709351400000,2024-03-02T03:50:00Z,71
1709351700000,2024-03-02T03:55:00Z,66
1709352000000,2024-03-02T04:00:00Z,66
1709352300000,2024-03-02T04:05:00Z,64
1709352600000,2024-03-02T04:10:00Z,67
1709352900000,2024-03-02T04:15:00Z,72
1709353200000,2024-03-02T04:20:00Z,63
1709353500000,2024-03-02T04:25:00Z,68
1709353800000,2024-03-02T04:30:00Z,62
1709354100000,2024-03-02T04:35:00Z,69
1709354400000,2024-03-02T04:40:00Z,68
1709354700000,2024-03-02T04:45:00Z,61
1709355000000,2024-03-02T04:50:00Z,69
1709355300000,2024-03-02T04:55:00Z,69
1709355600000,2024-03-02T05:00:00Z,63
1709355900000,2024-03-02T05:05:00Z,66
1709356200000,2024-03-02T05:10:00Z,63
1709356500000,2024-03-02T05:15:00Z,70
1709356800000,2024-03-02T05:20:00Z,62
1709357100000,2024-03-02T05:25:00Z,63
1709357400000,2024-03-02T05:30:00Z,64
1709357700000,2024-03-02T05:35:00Z,66
1709358000000,2024-03-02T05:40:00Z,66
1709358300000,2024-03-02T05:45:00Z,68
1709358600000,2024-03-02T05:50:00Z,67
1709358900000,2024-03-02T05:55:00Z,66
1709359200000,2024-03-02T06:00:00Z,74
1709359500000,2024-03-02T06:05:00Z,83
1709359800000,2024-03-02T06:10:00Z,89
1709360100000,2024-03-02T06:15:00Z,70
1709360400000,2024-03-02T06:20:00Z,85
1709360700000,2024-03-02T06:25:00Z,85
1709361000000,2024-03-02T06:30:00Z,72
1709361300000,2024-03-02T06:35:00Z,80
1709361600000,2024-03-02T06:40:00Z,85
1709361900000,2024-03-02T06:45:00Z,86
1709362200000,2024-03-02T06:50:00Z,76
1709362500000,2024-03-02T06:55:00Z,71
1709362800000,2024-03-02T07:00:00Z,81
1709363100000,2024-03-02T07:05:00Z,72
1709363400000,2024-03-02T07:10:00Z,81
1709363700000,2024-03-02T07:15:00Z,76
1709364000000,2024-03-02T07:20:00Z,72
1709364300000,2024-03-02T07:25:00Z,88
1709364600000,2024-03-02T07:30:00Z,85
1709364900000,2024-03-02T07:35:00Z,84
1709365200000,2024-03-02T07:40:00Z,75
1709365500000,2024-03-02T07:45:00Z,87
1709365800000,2024-03-02T07:50:00Z,89
1709366100000,2024-03-02T07:55:00Z,89
1709366400000,2024-03-02T08:00:00Z,84
1709366700000,2024-03-02T08:05:00Z,72
1709367000000,2024-03-02T08:10:00Z,77
1709367300000,2024-03-02T08:15:00Z,77
1709367600000,2024-03-02T08:20:00Z,80
1709367900000,2024-03-02T08:25:00Z,87
1709368200000,2024-03-02T08:30:00Z,77
1709368500000,2024-03-02T08:35:00Z,89
1709368800000,2024-03-02T08:40:00Z,87
1709369100000,2024-03-02T08:45:00Z,88
1709369400000,2024-03-02T08:50:00Z,75
1709369700000,2024-03-02T08:55:00Z,78
1709370000000,2024-03-02T09:00:00Z,84
1709370300000,2024-03-02T09:05:00Z,77
1709370600000,2024-03-02T09:10:00Z,77
1709370900000,2024-03-02T09:15:00Z,89
1709371200000,2024-03-02T09:20:00Z,82
1709371500000,2024-03-02T09:25:00Z,76
1709371800000,2024-03-02T09:30:00Z,90
1709372100000,2024-03-02T09:35:00Z,81
1709372400000,2024-03-02T09:40:00Z,79
1709372700000,2024-03-02T09:45:00Z,87
1709373000000,2024-03-02T09:50:00Z,89
1709373300000,2024-03-02T09:55:00Z,86
1709373600000,2024-03-02T10:00:00Z,89
1709373900000,2024-03-02T10:05:00Z,82
1709374200000,2024-03-02T10:10:00Z,84
1709374500000,2024-03-02T10:15:00Z,76
1709374800000,2024-03-02T10:20:00Z,77
1709375100000,2024-03-02T10:25:00Z,81
1709375400000,2024-03-02T10:30:00Z,73
1709375700000,2024-03-02T10:35:00Z,78
1709376000000,2024-03-02T10:40:00Z,87
1709376300000,2024-03-02T10:45:00Z,75
1709376600000,2024-03-02T10:50:00Z,83
1709376900000,2024-03-02T10:55:00Z,82
1709377200000,2024-03-02T11:00:00Z,80
1709377500000,2024-03-02T11:05:00Z,81
1709377800000,2024-03-02T11:10:00Z,88
1709378100000,2024-03-02T11:15:00Z,72
1709378400000,2024-03-02T11:20:00Z,74
1709378700000,2024-03-02T11:25:00Z,85
1709379000000,2024-03-02T11:30:00Z,85
1709379300000,2024-03-02T11:35:00Z,87
1709379600000,2024-03-02T11:40:00Z,85
1709379900000,2024-03-02T11:45:00Z,70
1709380200000,2024-03-02T11:50:00Z,73
1709380500000,2024-03-02T11:55:00Z,72
1709380800000,2024-03-02T12:00:00Z,103
1709381100000,2024-03-02T12:05:00Z,77
1709381400000,2024-03-02T12:10:00Z,84
1709381700000,2024-03-02T12:15:00Z,77
1709382000000,2024-03-02T12:20:00Z,88
1709382300000,2024-03-02T12:25:00Z,98
1709382600000,2024-03-02T12:30:00Z,104
1709382900000,2024-03-02T12:35:00Z,107
1709383200000,2024-03-02T12:40:00Z,99
1709383500000,2024-03-02T12:45:00Z,89
1709383800000,2024-03-02T12:50:00Z,108
1709384100000,2024-03-02T12:55:00Z,99
1709384400000,2024-03-02T13:00:00Z,93
1709384700000,2024-03-02T13:05:00Z,93
1709385000000,2024-03-02T13:10:00Z,100
1709385300000,2024-03-02T13:15:00Z,102
1709385600000,2024-03-02T13:20:00Z,100
1709385900000,2024-03-02T13:25:00Z,100
1709386200000,2024-03-02T13:30:00Z,110
1709386500000,2024-03-02T13:35:00Z,83
1709386800000,2024-03-02T13:40:00Z,94
1709387100000,2024-03-02T13:45:00Z,75
1709387400000,2024-03-02T13:50:00Z,82
1709387700000,2024-03-02T13:55:00Z,88
1709388000000,2024-03-02T14:00:00Z,97
1709388300000,2024-03-02T14:05:00Z,89
1709388600000,2024-03-02T14:10:00Z,93
1709388900000,2024-03-02T14:15:00Z,106
1709389200000,2024-03-02T14:20:00Z,109
1709389500000,2024-03-02T14:25:00Z,98
1709389800000,2024-03-02T14:30:00Z,91
1709390100000,2024-03-02T14:35:00Z,92
1709390400000,2024-03-02T14:40:00Z,79
1709390700000,2024-03-02T14:45:00Z,92
1709391000000,2024-03-02T14:50:00Z,105
1709391300000,2024-03-02T14:55:00Z,80
1709391600000,2024-03-02T15:00:00Z,78
1709391900000,2024-03-02T15:05:00Z,103
1709392200000,2024-03-02T15:10:00Z,95
1709392500000,2024-03-02T15:15:00Z,77
1709392800000,2024-03-02T15:20:00Z,92
1709393100000,2024-03-02T15:25:00Z,105
1709393400000,2024-03-02T15:30:00Z,77
1709393700000,2024-03-02T15:35:00Z,82
1709394000000,2024-03-02T15:40:00Z,82
1709394300000,2024-03-02T15:45:00Z,83
1709394600000,2024-03-02T15:50:00Z,99
1709394900000,2024-03-02T15:55:00Z,76
1709395200000,2024-03-02T16:00:00Z,80
1709395500000,2024-03-02T16:05:00Z,80
1709395800000,2024-03-02T16:10:00Z,107
1709396100000,2024-03-02T16:15:00Z,92
1709396400000,2024-03-02T16:20:00Z,82
1709396700000,2024-03-02T16:25:00Z,85
1709397000000,2024-03-02T16:30:00Z,76
1709397300000,2024-03-02T16:35:00Z,86
1709397600000,2024-03-02T16:40:00Z,108
1709397900000,2024-03-02T16:45:00Z,91
1709398200000,2024-03-02T16:50:00Z,96
1709398500000,2024-03-02T16:55:00Z,104
1709398800000,2024-03-02T17:00:00Z,97
1709399100000,2024-03-02T17:05:00Z,80
1709399400000,2024-03-02T17:10:00Z,88
1709399700000,2024-03-02T17:15:00Z,98
1709400000000,2024-03-02T17:20:00Z,92
1709400300000,2024-03-02T17:25:00Z,99
1709400600000,2024-03-02T17:30:00Z,79
1709400900000,2024-03-02T17:35:00Z,99
1709401200000,2024-03-02T17:40:00Z,102
1709401500000,2024-03-02T17:45:00Z,91
1709401800000,2024-03-02T17:50:00Z,101
1709402100000,2024-03-02T17:55:00Z,78
1709402400000,2024-03-02T18:00:00Z,82
1709402700000,2024-03-02T18:05:00Z,65
1709403000000,2024-03-02T18:10:00Z,80
1709403300000,2024-03-02T18:15:00Z,77
1709403600000,2024-03-02T18:20:00Z,65
1709403900000,2024-03-02T18:25:00Z,68
1709404200000,2024-03-02T18:30:00Z,70
1709404500000,2024-03-02T18:35:00Z,83
1709404800000,2024-03-02T18:40:00Z,69
1709405100000,2024-03-02T18:45:00Z,82
1709405400000,2024-03-02T18:50:00Z,72
1709405700000,2024-03-02T18:55:00Z,68
1709406000000,2024-03-02T19:00:00Z,76
1709406300000,2024-03-02T19:05:00Z,69
1709406600000,2024-03-02T19:10:00Z,73
1709406900000,2024-03-02T19:15:00Z,85
1709407200000,2024-03-02T19:20:00Z,69
1709407500000,2024-03-02T19:25:00Z,80
1709407800000,2024-03-02T19:30:00Z,68
1709408100000,2024-03-02T19:35:00Z,71
1709408400000,2024-03-02T19:40:00Z,70
1709408700000,2024-03-02T19:45:00Z,74
1709409000000,2024-03-02T19:50:00Z,74
1709409300000,2024-03-02T19:55:00Z,73
1709409600000,2024-03-02T20:00:00Z,65
1709409900000,2024-03-02T20:05:00Z,82
1709410200000,2024-03-02T20:10:00Z,85
1709410500000,2024-03-02T20:15:00Z,76
1709410800000,2024-03-02T20:20:00Z,77
1709411100000,2024-03-02T20:25:00Z,66
1709411400000,2024-03-02T20:30:00Z,73
1709411700000,2024-03-02T20:35:00Z,73
1709412000000,2024-03-02T20:40:00Z,75
1709412300000,2024-03-02T20:45:00Z,83
1709412600000,2024-03-02T20:50:00Z,75
1709412900000,2024-03-02T20:55:00Z,80
1709413200000,2024-03-02T21:00:00Z,82
1709413500000,2024-03-02T21:05:00Z,84
1709413800000,2024-03-02T21:10:00Z,69
1709414100000,2024-03-02T21:15:00Z,75
1709414400000,2024-03-02T21:20:00Z,78
1709414700000,2024-03-02T21:25:00Z,72
1709415000000,2024-03-02T21:30:00Z,76
1709415300000,2024-03-02T21:35:00Z,81
1709415600000,2024-03-02T21:40:00Z,73
1709415900000,2024-03-02T21:45:00Z,85
1709416200000,2024-03-02T21:50:00Z,74
1709416500000,2024-03-02T21:55:00Z,75
1709416800000,2024-03-02T22:00:00Z,75
1709417100000,2024-03-02T22:05:00Z,72
1709417400000,2024-03-02T22:10:00Z,78
1709417700000,2024-03-02T22:15:00Z,84
1709418000000,2024-03-02T22:20:00Z,83
1709418300000,2024-03-02T22:25:00Z,68
1709418600000,2024-03-02T22:30:00Z,77
1709418900000,2024-03-02T22:35:00Z,79
1709419200000,2024-03-02T22:40:00Z,77
1709419500000,2024-03-02T22:45:00Z,84
1709419800000,2024-03-02T22:50:00Z,79
1709420100000,2024-03-02T22:55:00Z,79
1709420400000,2024-03-02T23:00:00Z,69
1709420700000,2024-03-02T23:05:00Z,75
1709421000000,2024-03-02T23:10:00Z,82
1709421300000,2024-03-02T23:15:00Z,69
1709421600000,2024-03-02T23:20:00Z,81
1709421900000,2024-03-02T23:25:00Z,75
1709422200000,2024-03-02T23:30:00Z,73
1709422500000,2024-03-02T23:35:00Z,74
1709422800000,2024-03-02T23:40:00Z,78
1709423100000,2024-03-02T23:45:00Z,73
1709423400000,2024-03-02T23:50:00Z,82
1709423700000,2024-03-02T23:55:00Z,74
1709424000000,2024-03-03T00:00:00Z,62
1709424300000,2024-03-03T00:05:00Z,61
1709424600000,2024-03-03T00:10:00Z,60
1709424900000,2024-03-03T00:15:00Z,62
1709425200000,2024-03-03T00:20:00Z,65
1709425500000,2024-03-03T00:25:00Z,65
1709425800000,2024-03-03T00:30:00Z,61
1709426100000,2024-03-03T00:35:00Z,71
1709426400000,2024-03-03T00:40:00Z,67
1709426700000,2024-03-03T00:45:00Z,61
1709427000000,2024-03-03T00:50:00Z,62
1709427300000,2024-03-03T00:55:00Z,65
1709427600000,2024-03-03T01:00:00Z,64
1709427900000,2024-03-03T01:05:00Z,70
1709428200000,2024-03-03T01:10:00Z,60
1709428500000,2024-03-03T01:15:00Z,68
1709428800000,2024-03-03T01:20:00Z,62
1709429100000,2024-03-03T01:25:00Z,60
1709429400000,2024-03-03T01:30:00Z,62
1709429700000,2024-03-03T01:35:00Z,64
1709430000000,2024-03-03T01:40:00Z,72
1709430300000,2024-03-03T01:45:00Z,62
1709430600000,2024-03-03T01:50:00Z,60
1709430900000,2024-03-03T01:55:00Z,68
1709431200000,2024-03-03T02:00:00Z,72
1709431500000,2024-03-03T02:05:00Z,71
1709431800000,2024-03-03T02:10:00Z,68
1709432100000,2024-03-03T02:15:00Z,67
1709432400000,2024-03-03T02:20:00Z,61
1709432700000,2024-03-03T02:25:00Z,62
1709433000000,2024-03-03T02:30:00Z,60
